,major_violation_personal_hygiene,restaurant_address_address,restaurant_address_city,:@computed_region_5s6d_2f32,minor_violation_personal_hygiene,:@computed_region_x3q3_gi3e,major_violation_inadequate_cooking,major_violation_improper_holding_temperature,restaurant_address_zip,major_violation_unsafe_food_source,inspection_date,:@computed_region_3ini_iehf,w3alcd,minor_violation_unsafe_food_source,major_violation_contaminated_equipment,minor_violation_improper_holding_temperature,minor_violation_inadequate_cooking,minor_violation_contaminated_equipment,indbdate,restaurant_address_state,doing_business_as,:@computed_region_5bih_7r3y,coordinates,major_sum,minor_sum
605,0,2521 DURANT AVE,BERKELEY,1496,0,2,0,0,,0,2019-06-17T00:00:00.000,12,FA0000528,0,0,0,0,0,2019-10-14T05:00:01.000,CA,STEVE'S KOREAN BAR-B-Q,18,"[-122.257926, 37.867947]",0,0
606,0,2198 SAN PABLO AVE,BERKELEY,1494,0,8,0,0,,0,2019-07-15T00:00:00.000,6,FA0000010,0,0,0,0,0,2019-10-14T05:00:01.000,CA,ST. HELENA WINE CO.,22,"[-122.291411, 37.866579]",0,0
607,0,2680 BANCROFT WY,BERKELEY,1496,0,2,0,0,,0,2019-03-28T00:00:00.000,13,FA0000757,0,0,0,0,0,2019-10-14T05:00:01.000,CA,STRADAVARIUS,18,"[-122.255004, 37.869229]",0,0
608,0,2618 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-09-06T00:00:00.000,12,FA0000997,0,0,1,0,1,2019-10-14T05:00:01.000,CA,SUBWAY #26628,20,"[-122.258841, 37.862532]",0,2
609,0,2509 HEARST AVE,BERKELEY,1501,0,2,0,0,,0,2019-09-10T00:00:00.000,7,FA0001555,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUBWAY #50177,31,"[-122.259764, 37.875135]",0,0
610,0,1105 UNIVERSITY AVE,BERKELEY,1494,0,5,0,0,,0,2019-05-21T00:00:00.000,6,FA0002093,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SUBWAY DBA BERKELEY SANDWICH,2,"[-122.291636, 37.869215]",0,0
611,0,1615 SOLANO AVE,BERKELEY,1499,0,,0,0,,0,2019-08-01T00:00:00.000,1,FA0001357,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUBWAY RESTAURANT,14,"[-122.284087, 37.891105]",0,0
612,0,92 SHATTUCK SQ,BERKELEY,1496,0,1,0,0,,0,2019-08-02T00:00:00.000,11,FA0000352,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUBWAY SANDWICHES,32,"[-122.267734, 37.871336]",0,0
613,0,2944 COLLEGE AVE,BERKELEY,1497,0,6,0,0,,0,,13,FA0002131,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SUMMER KITCHEN,19,"[-122.253077, 37.857294]",0,0
614,0,2173 ALLSTON WAY,BERKELEY,1496,0,1,0,0,,0,2019-04-02T00:00:00.000,11,FA0001847,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SUMO ROLL,32,"[-122.266309, 37.869612]",0,0
615,0,2355 TELEGRAPH AVE,BERKELEY,1496,0,2,0,0,,0,2019-07-19T00:00:00.000,12,FA0001970,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SUPER DUPER BURGER,18,"[-122.25896, 37.86765]",0,0
616,0,1428 SAN PABLO AVE,BERKELEY,1494,0,5,0,0,,0,2019-06-18T00:00:00.000,9,FA0001679,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUPER SUPER RESTAURANT,12,"[-122.294977, 37.877688]",0,0
617,0,1806 FOURTH ST,BERKELEY,1502,0,5,0,0,,0,2019-07-15T00:00:00.000,6,FA0000107,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUR LA TABLE,11,"[-122.300617, 37.869886]",0,0
618,0,1647 SOLANO AVE,BERKELEY,1499,0,,0,0,,0,2019-08-06T00:00:00.000,1,FA0000226,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUSHI 29,14,"[-122.283407, 37.891147]",0,0
619,0,2033 M L KING JR WY,BERKELEY,,0,,0,0,,0,2019-05-16T00:00:00.000,,FA0000252,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUSHI CALIFORNIA,,,0,0
620,0,2235 MILVIA ST,BERKELEY,1496,0,1,0,0,,0,2019-09-27T00:00:00.000,10,FA0001608,0,0,0,0,0,2019-10-14T05:00:01.000,CA,SUSHINISTA,32,"[-122.270301, 37.867703]",0,0
621,0,2110 SHATTUCK AVE,BERKELEY,1496,0,1,0,0,,0,2019-07-31T00:00:00.000,11,FA0001870,0,0,0,0,0,2019-10-14T05:00:02.000,CA,SUSHI SECRETS,32,"[-122.268269, 37.870979]",0,0
