,facility_name,activity_date,service,violation_description,resource_code,location_1,address,:@computed_region_q3a8_eiwf,point,city
0,24 HOUR OPTCC,2018-04-04,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 77247295"", ""city"": """", ""state"": """", ""zip"": """"}'}","3500 E 9TH ST OAKLAND, CA 94601",,"37 46m 27.5542s N, 122 13m 50.3004s W",OAKLAND
1,360 BAKERY & CAFE,2017-02-21,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 49186373"", ""city"": """", ""state"": """", ""zip"": """"}'}","46529 MISSION BLVD FREMONT, CA 94539",,"37 29m 45.1054s N, 121 55m 22.2665s W",FREMONT
2,7-ELEVEN FOOD STORE #14182,2014-03-18,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 63342346"", ""city"": """", ""state"": """", ""zip"": """"}'}","2175 ALDENGATE WAY HAYWARD, CA 94545",,"37 38m 0.0413286s N, 122 5m 50.6059s W",HAYWARD
3,7-ELEVEN FOOD STORE #17008,2017-04-28,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 69120769"", ""city"": """", ""state"": """", ""zip"": """"}'}","1240 MANOR BLVD SAN LEANDRO, CA 94578",,"37 41m 28.8731s N, 122 9m 6.67601s W",SAN LEANDRO
4,7-ELEVEN FOOD STORE #26596,2017-06-05,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 49151848"", ""city"": """", ""state"": """", ""zip"": """"}'}","46650 MOHAVE DR FREMONT, CA 94539",,"37 29m 30.3249s N, 121 55m 35.1737s W",FREMONT
5,85 DEGREES BAKERY CAFE,2016-11-08,111,Nonfood-contact surfaces clean,,"{'human_address': '{""address"": ""37 54962539"", ""city"": """", ""state"": """", ""zip"": """"}'}","35201 NEWARK BLVD V NEWARK, CA 94560",,"37 32m 10.2894s N, 122 1m 44.8885s W",NEWARK
6,88 BAO BAO,2019-04-24,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 70416596"", ""city"": """", ""state"": """", ""zip"": """"}'}","3880 FALLON RD DUBLIN, CA 94568",,"37 42m 53.2768s N, 121 51m 11.47s W",DUBLIN
7,88 FOOD MARKET,2016-09-27,111,Impoundment,y,"{'human_address': '{""address"": ""37 71071491"", ""city"": """", ""state"": """", ""zip"": """"}'}","14405 E 14TH ST SAN LEANDRO, CA 94578",,"37 42m 38.7992s N, 122 8m 11.3949s W",SAN LEANDRO
8,8TH STREET CAFE,2013-06-24,131,Food separated and protected,g,"{'human_address': '{""address"": ""37 79918280"", ""city"": """", ""state"": """", ""zip"": """"}'}","337 8TH ST OAKLAND, CA 94607",,"37 47m 56.5514s N, 122 16m 15.8953s W",OAKLAND
9,99 CENTS ONLY STORE #217,2018-01-03,111,Food properly labeled & honestly presented,g,"{'human_address': '{""address"": ""37 68447824"", ""city"": """", ""state"": """", ""zip"": """"}'}","20882 MISSION BLVD HAYWARD, CA 94541",,"37 41m 3.04528s N, 122 5m 54.8911s W",HAYWARD
10,99 CENTS ONLY STORE #278,2014-03-06,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 80544420"", ""city"": """", ""state"": """", ""zip"": """"}'}","1440 7TH ST OAKLAND, CA 94607",,"37 48m 9.792s N, 122 16m 59.9822s W",OAKLAND
11,99 CENTS,2016-05-19,111,Plan Review,g,"{'human_address': '{""address"": ""37 63132763"", ""city"": """", ""state"": """", ""zip"": """"}'}","1114 W TENNYSON RD HAYWARD, CA 94544",,"37 37m 52.626s N, 122 4m 33.984s W",HAYWARD
12,99 RANCH MARKET #62,2019-03-28,111,Food contact surfaces: clean and sanitized,y,"{'human_address': '{""address"": ""37 57457981"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
13,99 RANCH MARKET,2014-08-18,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 57457485"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
14,99 RANCH MARKET,2015-01-13,111,Nonfood-contact surfaces clean,y,"{'human_address': '{""address"": ""37 57457981"", ""city"": """", ""state"": """", ""zip"": """"}'}","34444 FREMONT BLVD FREMONT, CA 94555",,"37 34m 31.2069s N, 122 2m 21.2413s W",FREMONT
15,ACTUAL CAFE,2019-05-06,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 84705141"", ""city"": """", ""state"": """", ""zip"": """"}'}","6334 SAN PABLO AVE OAKLAND, CA 94608",,"37 50m 48.5477s N, 122 17m 5.18496s W",OAKLAND
16,ADVANTAGE FOOD SAMPLING PROGRAM @ SAFEWAY #910,2018-04-19,111,Plan Review,g,"{'human_address': '{""address"": ""37 67931141"", ""city"": """", ""state"": """", ""zip"": """"}'}","1554 FIRST ST LIVERMORE, CA 94550",,"37 40m 49.6803s N, 121 46m 38.4638s W",LIVERMORE
17,AFC SUSHI @ SAFEWAY #910,2017-01-25,111,Proper hot and cold holding temperatures,g,"{'human_address': '{""address"": ""37 67931141"", ""city"": """", ""state"": """", ""zip"": """"}'}","1554 FIRST ST LIVERMORE, CA 94550",,"37 40m 49.6803s N, 121 46m 38.4638s W",LIVERMORE
18,AFGHAN MARKET,2014-03-17,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 63274349"", ""city"": """", ""state"": """", ""zip"": """"}'}","27521 TAMPA AVE HAYWARD, CA 94544",,"37 37m 56.4883s N, 122 4m 32.8876s W",HAYWARD
19,A-KAT CAFE KALLI,2016-12-09,111,Wiping cloths: properly used and stored,g,"{'human_address': '{""address"": ""37 79902402"", ""city"": """", ""state"": """", ""zip"": """"}'}","1603 2ND AVE OAKLAND, CA 94606",,"37 47m 57.2376s N, 122 15m 17.0232s W",OAKLAND
20,ALAMEDA COUNTY FAIR-SAT WGRING SNAC,2013-07-24,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 66012752"", ""city"": """", ""state"": """", ""zip"": """"}'}","4501 PLEASANTON AVE PLEASANTON, CA 94566",,"37 39m 43.1681s N, 121 53m 18.7971s W",PLEASANTON
21,ALAMEDA PIZZA,2015-03-24,111,Plan Review,,"{'human_address': '{""address"": ""37 77454493"", ""city"": """", ""state"": """", ""zip"": """"}'}","1538 WEBSTER ST ALAMEDA, CA 94501",,"37 46m 28.002s N, 122 16m 36.1696s W",ALAMEDA
22,ALBANY BOWL BAR,2013-08-29,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 89323486"", ""city"": """", ""state"": """", ""zip"": """"}'}","540 SAN PABLO AVE ALBANY, CA 94706",,"37 53m 46.2887s N, 122 18m 3.8826s W",ALBANY
23,ALBANY MIDDLE SCHOOL,2013-11-13,111,Thermometers provided and accurate,g,"{'human_address': '{""address"": ""37 89778432"", ""city"": """", ""state"": """", ""zip"": """"}'}","1259 BRIGHTON ST ALBANY, CA 94706",,"37 53m 51.6286s N, 122 17m 43.2456s W",ALBANY
24,AMADOR HIGH SCHOOL,2018-03-29,111,Consumer self service,g,"{'human_address': '{""address"": ""37 66872825"", ""city"": """", ""state"": """", ""zip"": """"}'}","1155 SANTA RITA RD PLEASANTON, CA 94566",,"37 40m 4.87055s N, 121 52m 23.6558s W",PLEASANTON
25,AMAZONAS PIZZA,2016-12-06,111,"No rodents, insects, birds, or animals",,"{'human_address': '{""address"": ""37 81352263"", ""city"": """", ""state"": """", ""zip"": """"}'}","2427 TELEGRAPH AVE OAKLAND, CA 94612",,"37 48m 50.8526s N, 122 16m 5.81028s W",OAKLAND
26,AMERICANA PIZZA INC,2014-05-06,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 67438363"", ""city"": """", ""state"": """", ""zip"": """"}'}","22530 MAIN ST HAYWARD, CA 94544",,"37 40m 24.9696s N, 122 4m 59.6596s W",HAYWARD
27,AMF SOUTHSHORE LANES,2017-12-13,111,Plan Review,g,"{'human_address': '{""address"": ""37 75493245"", ""city"": """", ""state"": """", ""zip"": """"}'}","300 PARK ST ALAMEDA, CA 94501",,"37 43m 50.4336s N, 122 9m 59.238s W",ALAMEDA
28,AMMA'S,2013-11-12,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 52388256"", ""city"": """", ""state"": """", ""zip"": """"}'}","5988 NEWPARK MALL NEWARK, CA 94560",,"37 31m 42.1529s N, 122 0m 11.1776s W",NEWARK
29,ANALOG,2015-05-11,111,Plan Review,g,"{'human_address': '{""address"": ""37 80373434"", ""city"": """", ""state"": """", ""zip"": """"}'}","414 14TH ST OAKLAND, CA 94612",,"37 48m 14.5889s N, 122 16m 12.6797s W",OAKLAND
30,ANDALE'S SATELLITE ROOM 1151,2016-12-07,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 72288105"", ""city"": """", ""state"": """", ""zip"": """"}'}","1 AIRPORT DR OAKLAND, CA 94621",,"37 42m 51.1949s N, 122 12m 27.4705s W",OAKLAND
31,ANDY'S VALERO,2017-03-28,111,Food separated and protected,g,"{'human_address': '{""address"": ""37 54361571"", ""city"": """", ""state"": """", ""zip"": """"}'}","39990 FREMONT BLVD FREMONT, CA 94538",,"37 30m 54.0601s N, 121 57m 10.4738s W",FREMONT
32,ANGKOR GRILL,2015-09-30,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 76342403"", ""city"": """", ""state"": """", ""zip"": """"}'}","1319 PARK ST ALAMEDA, CA 94501",,"37 45m 46.148s N, 122 14m 37.7788s W",ALAMEDA
33,ANIKI'S SUSHI,2013-12-11,111,Thermometers provided and accurate,y,"{'human_address': '{""address"": ""37 54944209"", ""city"": """", ""state"": """", ""zip"": """"}'}","3810 MOWRY AVE FREMONT, CA 94538",,"37 32m 58.653s N, 121 59m 15.0821s W",FREMONT
34,ANNY'S FAMILY RESTAURANT,2013-06-24,111,Food separated and protected,y,"{'human_address': '{""address"": ""37 53782079"", ""city"": """", ""state"": """", ""zip"": """"}'}","5486 CENTRAL AVE NEWARK, CA 94560",,"37 31m 50.3371s N, 122 1m 27.494s W",NEWARK
35,ANUL'S CAFE,2018-06-06,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 80323994"", ""city"": """", ""state"": """", ""zip"": """"}'}","1319 FRANKLIN ST OAKLAND, CA 94612",,"37 48m 12.1836s N, 122 16m 13.3973s W",OAKLAND
36,APPLEBEES,2013-11-14,111,Nonfood-contact surfaces clean,y,"{'human_address': '{""address"": ""37 69606411"", ""city"": """", ""state"": """", ""zip"": """"}'}","4301 N FIRST ST LIVERMORE, CA 94550",,"37 41m 31.3084s N, 121 45m 2.11248s W",LIVERMORE
37,ARBY'S,2013-05-10,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 52301885"", ""city"": """", ""state"": """", ""zip"": """"}'}","39201 CEDAR BLVD NEWARK, CA 94560",,"37 32m 26.8235s N, 122 1m 25.333s W",NEWARK
38,ARCO AM PM,2013-05-14,111,Permits Available,g,"{'human_address': '{""address"": ""37 80329406"", ""city"": """", ""state"": """", ""zip"": """"}'}","3310 PARK BLVD OAKLAND, CA 94610",,"37 48m 16.5316s N, 122 13m 58.7712s W",OAKLAND
39,ARENA MC LEVEL #109B,2014-10-29,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 75158220"", ""city"": """", ""state"": """", ""zip"": """"}'}","7000 COLISEUM WAY OAKLAND, CA 94621",,"37 45m 0.98406s N, 122 12m 10.5564s W",OAKLAND
40,ARENA MC LEVEL #VR33S,2014-07-18,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 75158220"", ""city"": """", ""state"": """", ""zip"": """"}'}","7000 COLISEUM WAY OAKLAND, CA 94621",,"37 45m 0.98406s N, 122 12m 10.5564s W",OAKLAND
41,ARENA UC LEVEL #A215,2014-05-27,111,Plumbing proper backflow devices,g,"{'human_address': '{""address"": ""37 75158220"", ""city"": """", ""state"": """", ""zip"": """"}'}","7000 COLISEUM WAY OAKLAND, CA 94621",,"37 45m 0.98406s N, 122 12m 10.5564s W",OAKLAND
42,ARTEAGAS FOOD CENTER,2014-04-29,111,Proper cooling methods,y,"{'human_address': '{""address"": ""37 54125478"", ""city"": """", ""state"": """", ""zip"": """"}'}","5524 THORNTON AVE NEWARK, CA 94560",,"37 32m 23.8492s N, 122 1m 40.511s W",NEWARK
43,ASIA DELIGHT #4,2013-03-14,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 63228685"", ""city"": """", ""state"": """", ""zip"": """"}'}","26930 HESPERIAN BLVD HAYWARD, CA 94545",,"37 38m 0.735316s N, 122 5m 53.7941s W",HAYWARD
44,AU LOUNGE,2016-08-12,111,Food separated and protected,g,"{'human_address': '{""address"": ""37 81361309"", ""city"": """", ""state"": """", ""zip"": """"}'}","2430 BROADWAY OAKLAND, CA 94612",,"37 48m 49.0823s N, 122 15m 55.2259s W",OAKLAND
45,AUNTIE ANNE'S SOFT PRETZELS,2016-12-13,111,Vending machines,g,"{'human_address': '{""address"": ""37 65199911"", ""city"": """", ""state"": """", ""zip"": """"}'}","267 SOUTHLAND MALL #116 HAYWARD, CA 94545",,,HAYWARD
46,BA LE FRENCH COFFEE SHOP,2015-04-06,111,"No rodents, insects, birds, or animals",r,"{'human_address': '{""address"": ""37 79993125"", ""city"": """", ""state"": """", ""zip"": """"}'}","812 FRANKLIN ST OAKLAND, CA 94607",,"37 47m 59.4493s N, 122 16m 20.549s W",OAKLAND
47,BACK DOOR LOUNGE,2014-07-11,111,"Food in good condition, safe and unadulterated",g,"{'human_address': '{""address"": ""37 55756928"", ""city"": """", ""state"": """", ""zip"": """"}'}","37422 FREMONT BLVD FREMONT, CA 94536",,"37 33m 27.9026s N, 122 0m 21.5249s W",FREMONT
48,BAJA TAQUERIA,2012-10-31,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 82629027"", ""city"": """", ""state"": """", ""zip"": """"}'}","4070 PIEDMONT AVE OAKLAND, CA 94611",,"37 49m 34.4723s N, 122 15m 8.91324s W",OAKLAND
49,BAKERY-TAQUERIA UNO,2019-08-27,111,Food obtained from approved source,g,"{'human_address': '{""address"": ""37 60599307"", ""city"": """", ""state"": """", ""zip"": """"}'}","1854 WHIPPLE RD UNION CITY, CA 94587",,"37 36m 21.398s N, 122 2m 3.36084s W",UNION CITY
50,BASIL LEAF ASIAN CUISINE,2012-12-04,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 54971801"", ""city"": """", ""state"": """", ""zip"": """"}'}","3241 WALNUT AVE FREMONT, CA 94538",,"37 33m 2.98181s N, 121 58m 43.3602s W",FREMONT
51,BASKIN ROBBINS,2012-09-19,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 69616983"", ""city"": """", ""state"": """", ""zip"": """"}'}","4323 FIRST ST LIVERMORE, CA 94551",,"37 40m 42.5136s N, 121 46m 45.0826s W",LIVERMORE
52,BAY WOLF RESTAURANT,2012-10-08,111,Permits Available,g,"{'human_address': '{""address"": ""37 82432369"", ""city"": """", ""state"": """", ""zip"": """"}'}","3853 PIEDMONT AVE OAKLAND, CA 94611",,"37 49m 28.1815s N, 122 15m 17.1296s W",OAKLAND
53,BAYGREENS,2017-03-01,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 81208262"", ""city"": """", ""state"": """", ""zip"": """"}'}","2225 WEBSTER ST OAKLAND, CA 94612",,"37 48m 39.8457s N, 122 15m 56.2682s W",OAKLAND
54,BB BOWL,2017-03-23,111,Food separated and protected,g,"{'human_address': '{""address"": ""37 76907969"", ""city"": """", ""state"": """", ""zip"": """"}'}","2601 BLANDING AVE B ALAMEDA, CA 94501",,"37 46m 7.3848s N, 122 14m 1.5216s W",ALAMEDA
55,BERNARD'S CHEVRON,2018-10-16,111,Permits Available,g,"{'human_address': '{""address"": ""37 70332407"", ""city"": """", ""state"": """", ""zip"": """"}'}","1051 AIRWAY BLVD LIVERMORE, CA 94550",,"37 42m 11.8945s N, 121 49m 7.00283s W",LIVERMORE
56,BEST CHINESE BBQ RESTAURANT,2014-06-26,111,Impoundment,y,"{'human_address': '{""address"": ""37 68667840"", ""city"": """", ""state"": """", ""zip"": """"}'}","699 LEWELLING BLVD #180 SAN LEANDRO, CA 94579",,,SAN LEANDRO
57,BEST TASTE RESTAURANT,2013-03-14,111,Nonfood-contact surfaces clean,y,"{'human_address': '{""address"": ""37 79993288"", ""city"": """", ""state"": """", ""zip"": """"}'}","814 FRANKLIN ST OAKLAND, CA 94607",,"37 47m 59.4841s N, 122 16m 20.5284s W",OAKLAND
58,BIERHAUS,2019-02-27,111,Adequate handwashing facilities supplied & accessi,g,"{'human_address': '{""address"": ""37 82823204"", ""city"": """", ""state"": """", ""zip"": """"}'}","360 40TH ST OAKLAND, CA 94609",,"37 49m 42.0233s N, 122 15m 28.692s W",OAKLAND
59,BLUE COLT CLUB,2019-07-29,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 67206272"", ""city"": """", ""state"": """", ""zip"": """"}'}","943 B ST HAYWARD, CA 94541",,"37 40m 20.5619s N, 122 4m 59.9431s W",HAYWARD
60,BLUE DOT CAFE AND COFFEE BAR,2017-06-12,111,Impoundment,g,"{'human_address': '{""address"": ""37 76746052"", ""city"": """", ""state"": """", ""zip"": """"}'}","1910 ENCINAL AVE ALAMEDA, CA 94501",,"37 46m 0.56928s N, 122 15m 15.6575s W",ALAMEDA
61,BOHANNON MIDDLE SCHOOL,2012-09-04,111,Equipment/Utensils - approved installed clean g,g,"{'human_address': '{""address"": ""37 67106247"", ""city"": """", ""state"": """", ""zip"": """"}'}","800 BOCKMAN RD SAN LORENZO, CA 94580",,"37 40m 10.4772s N, 122 7m 31.0268s W",LORENZO
62,BOMBAY GARDEN,2015-10-20,131,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 52518952"", ""city"": """", ""state"": """", ""zip"": """"}'}","5995 MOWRY AVE NEWARK, CA 94560",,"37 31m 33.2063s N, 122 0m 25.8337s W",NEWARK
63,BOP,2016-10-13,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 49116762"", ""city"": """", ""state"": """", ""zip"": """"}'}","46695 MISSION BLVD FREMONT, CA 94539",,"37 29m 45.1054s N, 121 55m 22.2665s W",FREMONT
64,BOSTON MARKET #1297,2015-03-30,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 83369126"", ""city"": """", ""state"": """", ""zip"": """"}'}","5152 BROADWAY OAKLAND, CA 94618",,"37 50m 6.52733s N, 122 15m 6.96408s W",OAKLAND
65,BOTTLENECK LIQUORS,2016-02-24,111,Permits Available,g,"{'human_address': '{""address"": ""37 75390463"", ""city"": """", ""state"": """", ""zip"": """"}'}","3151 98TH AVE OAKLAND, CA 94605",,"37 45m 14.5116s N, 122 9m 8.856s W",OAKLAND
66,BOXICHEF,2018-04-04,111,Thermometers provided and accurate,y,"{'human_address': '{""address"": ""37 79684397"", ""city"": """", ""state"": """", ""zip"": """"}'}","468 3RD ST OAKLAND, CA 94607",,"37 47m 49.691s N, 122 16m 35.0742s W",OAKLAND
67,BROADWAY 76,2013-08-12,111,Plumbing proper backflow devices,,"{'human_address': '{""address"": ""37 83776582"", ""city"": """", ""state"": """", ""zip"": """"}'}","5300 BROADWAY AVE OAKLAND, CA 94618",,"37 50m 13.9488s N, 122 15m 2.3292s W",OAKLAND
68,BRONCO BILLY'S PIZZA PALACE,2016-07-20,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 52378256"", ""city"": """", ""state"": """", ""zip"": """"}'}","41200 BLACOW RD #D FREMONT, CA 94538",,"37 31m 21.0695s N, 121 58m 15.897s W",FREMONT
69,BROTHERS MARKET,2017-04-27,111,Food obtained from approved source,g,"{'human_address': '{""address"": ""37 81844893"", ""city"": """", ""state"": """", ""zip"": """"}'}","2837 MARTIN L KING JR WAY OAKLAND, CA 94609",,,OAKLAND
70,BRUNDO MEATS & DELI,2018-04-23,111,Food separated and protected,r,"{'human_address': '{""address"": ""37 85019562"", ""city"": """", ""state"": """", ""zip"": """"}'}","6419 TELEGRAPH AVE OAKLAND, CA 94609",,"37 50m 11.3968s N, 122 15m 44.9946s W",OAKLAND
71,B-SIDE BBQ,2013-09-10,111,Food separated and protected,g,"{'human_address': '{""address"": ""37 82417462"", ""city"": """", ""state"": """", ""zip"": """"}'}","3301 SAN PABLO AVE OAKLAND, CA 94608",,"37 50m 38.648s N, 122 17m 2.45616s W",OAKLAND
72,BUFFALO WILD WINGS,2016-05-26,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 67986688"", ""city"": """", ""state"": """", ""zip"": """"}'}","1790 N FIRST ST LIVERMORE, CA 94550",,"37 40m 48.7183s N, 121 46m 26.2846s W",LIVERMORE
73,BUILDING BLOCKS,2014-10-02,111,Thermometers provided and accurate,g,"{'human_address': '{""address"": ""37 79361730"", ""city"": """", ""state"": """", ""zip"": """"}'}","2370 GRANDE VISTA OAKLAND, CA 94601",,"37 47m 37.2883s N, 122 13m 28.1069s W",OAKLAND
74,BUN MAM SOC TRANG,2014-12-04,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 79227926"", ""city"": """", ""state"": """", ""zip"": """"}'}","1326 E 18TH ST OAKLAND, CA 94606",,"37 47m 32.5447s N, 122 14m 35.5207s W",OAKLAND
75,BURGER KING #977,2018-05-23,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 69409387"", ""city"": """", ""state"": """", ""zip"": """"}'}","2757 CASTRO VALLEY BLVD CASTRO VALLEY, CA 94546",,"37 41m 38.941s N, 122 5m 12.3525s W",VALLEY
76,C & A MINI MART & DELI,2015-06-19,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 70454097"", ""city"": """", ""state"": """", ""zip"": """"}'}","128 S VASCO RD LIVERMORE, CA 94551",,"37 42m 30.6177s N, 121 43m 24.7561s W",LIVERMORE
77,C U R A,2013-05-06,111,Proper hot and cold holding temperatures,g,"{'human_address': '{""address"": ""37 81349472"", ""city"": """", ""state"": """", ""zip"": """"}'}","531 24TH ST OAKLAND, CA 94612",,"37 48m 48.5517s N, 122 16m 9.48588s W",OAKLAND
78,CABRILLO PARK CAFE,2015-12-16,111,Plumbing proper backflow devices,g,"{'human_address': '{""address"": ""37 52987478"", ""city"": """", ""state"": """", ""zip"": """"}'}","4949 STEVENSON BLVD #L FREMONT, CA 94538",,"37 31m 45.5997s N, 121 58m 56.8296s W",FREMONT
79,CAESAR'S CHICKEN,2014-11-19,111,Proper cooling methods,g,"{'human_address': '{""address"": ""37 66932257"", ""city"": """", ""state"": """", ""zip"": """"}'}","19450 HESPERIAN BLVD HAYWARD, CA 94541",,"37 39m 52.1017s N, 122 7m 2.89344s W",HAYWARD
80,CAFE 3016,2014-03-11,111,Food obtained from approved source,g,"{'human_address': '{""address"": ""37 79704831"", ""city"": """", ""state"": """", ""zip"": """"}'}","3016 MACARTHUR BLVD OAKLAND, CA 94602",,"37 47m 50.2371s N, 122 12m 16.8336s W",OAKLAND
81,CAFE DE LAGNIAPPE,2015-01-27,111,Signs posted last inspection report available,g,"{'human_address': '{""address"": ""37 65839241"", ""city"": """", ""state"": """", ""zip"": """"}'}","24100 AMADOR ST #183 HAYWARD, CA 94544",,,HAYWARD
82,CAFE GYROS,2013-02-01,111,Proper cooling methods,y,"{'human_address': '{""address"": ""37 52196943"", ""city"": """", ""state"": """", ""zip"": """"}'}","39941 BALENTINE DR NEWARK, CA 94560",,"37 31m 17.1765s N, 121 59m 27.6354s W",NEWARK
83,CAFE JOLIE,2018-11-19,111,Plan Review,g,"{'human_address': '{""address"": ""37 77377864"", ""city"": """", ""state"": """", ""zip"": """"}'}","1500 WEBSTER ST ALAMEDA, CA 94501",,"37 46m 23.8872s N, 122 16m 36.3144s W",ALAMEDA
84,CAFE SORRISO,2012-11-27,111,Nonfood-contact surfaces clean,g,"{'human_address': '{""address"": ""37 72279102"", ""city"": """", ""state"": """", ""zip"": """"}'}","1501 WASHINGTON AVE SAN LEANDRO, CA 94577",,"37 43m 22.2672s N, 122 9m 18.5616s W",SAN LEANDRO
85,CAFE TAIWAN,2014-11-12,111,Thermometers provided and accurate,g,"{'human_address': '{""address"": ""37 66882339"", ""city"": """", ""state"": """", ""zip"": """"}'}","3550 STANLEY BLVD 3 PLEASANTON, CA 94566",,"37 40m 8.23563s N, 121 51m 45.4036s W",PLEASANTON
86,CAFE TV,2016-11-17,111,Permits Available,r,"{'human_address': '{""address"": ""37 79362040"", ""city"": """", ""state"": """", ""zip"": """"}'}","649 E 12TH ST #A OAKLAND, CA 94606",,"37 47m 38.2305s N, 122 15m 13.0166s W",OAKLAND
87,CAMINO RESTAURANT,2018-10-23,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 81709228"", ""city"": """", ""state"": """", ""zip"": """"}'}","3917 GRAND AVE OAKLAND, CA 94610",,"37 49m 6.24468s N, 122 14m 42.4802s W",OAKLAND
88,CARMEN & FAMILY BBQ,2018-09-11,111,Food contact surfaces: clean and sanitized,g,"{'human_address': '{""address"": ""37 66593015"", ""city"": """", ""state"": """", ""zip"": """"}'}","692 W A ST HAYWARD, CA 94541",,"37 39m 57.5009s N, 122 6m 46.7892s W",HAYWARD
89,CASA REAL,2015-09-28,111,"No rodents, insects, birds, or animals",g,"{'human_address': '{""address"": ""37 65391164"", ""city"": """", ""state"": """", ""zip"": """"}'}","410 VINEYARD AVE PLEASANTON, CA 94566",,"37 39m 10.113s N, 121 48m 25.3167s W",PLEASANTON
90,CASA RESTAURANT,2018-05-16,111,Impoundment,g,"{'human_address': '{""address"": ""37 50837151"", ""city"": """", ""state"": """", ""zip"": """"}'}","6092 STEVENSON BLVD FREMONT, CA 94538",,"37 31m 37.4387s N, 121 59m 3.048s W",FREMONT
91,CASTLEMONT HIGH SCHOOL,2016-06-10,111,Food contact surfaces: clean and sanitized,c,"{'human_address': '{""address"": ""37 75981708"", ""city"": """", ""state"": """", ""zip"": """"}'}","8601 MACARTHUR BLVD OAKLAND, CA 94601",,"37 47m 34.7334s N, 122 11m 59.7145s W",OAKLAND
92,CASTRO VALLEY HS ATHELETIC STADIUM,2013-04-25,111,Nonfood-contact surfaces clean,,"{'human_address': '{""address"": ""37 70455470"", ""city"": """", ""state"": """", ""zip"": """"}'}","19400 SANTA MARIA AVE CASTRO VALLEY, CA 94546",,,VALLEY
93,CASTRO VALLEY SHELL,2013-06-19,111,Permits Available,g,"{'human_address': '{""address"": ""37 69491713"", ""city"": """", ""state"": """", ""zip"": """"}'}","3519 CASTRO VALLEY BLVD CASTRO VALLEY, CA 94546",,"37 41m 43.9588s N, 122 4m 31.6103s W",VALLEY
94,CHABOT LIQUORS,2015-03-06,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 69711433"", ""city"": """", ""state"": """", ""zip"": """"}'}","20388 LAKE CHABOT RD CASTRO VALLEY, CA 94546",,,VALLEY
95,CHEF CHAI,2018-12-20,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 47657129"", ""city"": """", ""state"": """", ""zip"": """"}'}","47894 WARM SPRINGS BLVD FREMONT, CA 94539",,"37 28m 35.666s N, 121 55m 13.8194s W",FREMONT
96,CHEF MING EXPRESS,2017-05-23,111,Vending machines,g,"{'latitude': '41.53019', 'longitude': '-87.048672', 'human_address': '{""address"": ""37 66487475"", ""city"": """", ""state"": """", ""zip"": """"}'}","1169 W A ST HAYWARD, CA 94541",22000,"37 39m 59.2888s N, 122 6m 8.6076s W",HAYWARD
