,facility_name,activity_date,service,violation_description,resource_code,location_1,address,:@computed_region_q3a8_eiwf,point,city
625,A'S CAFE,2013-03-28,111,Adequate handwashing facilities supplied & accessi,g,"{'latitude': '41.060681', 'longitude': '-111.982698', 'human_address': '{""address"": ""37 70875601"", ""city"": """", ""state"": """", ""zip"": """"}'}","14807 E 14TH ST SAN LEANDRO, CA 94578",33133,"37 42m 30.6249s N, 122 7m 59.7047s W",SAN LEANDRO
626,7-ELEVEN FOOD STORE #14191,2014-08-21,111,Hot and cold water available,g,"{'human_address': '{""address"": ""37 69674715"", ""city"": """", ""state"": """", ""zip"": """"}'}","1988 167TH AVE SAN LEANDRO, CA 94578",,,SAN LEANDRO
627,ALAMEDA YACHT CLUB,2016-06-03,111,Equipment/Utensils - approved installed clean g,g,"{'latitude': '40.377737', 'longitude': '-111.777342', 'human_address': '{""address"": ""37 77595607"", ""city"": """", ""state"": """", ""zip"": """"}'}","1535 BUENA VISTA AVE #A ALAMEDA, CA 94501",33031,"37 46m 34.9962s N, 122 15m 33.1827s W",ALAMEDA
628,BOB'S GIANT BURGERS,2014-11-03,111,"Proper eating, tasting, drinking or tobacco use",y,"{'latitude': '41.434417', 'longitude': '-87.167338', 'human_address': '{""address"": ""37 53494334"", ""city"": """", ""state"": """", ""zip"": """"}'}","40720 FREMONT BLVD FREMONT, CA 94538",21649,"37 30m 54.0601s N, 121 57m 10.4738s W",FREMONT
629,24 HOUR OPTCC,2014-04-02,111,Garbage and refuse properly disposed facilities m,g,"{'human_address': '{""address"": ""37 77246799"", ""city"": """", ""state"": """", ""zip"": """"}'}","3500 E 9TH ST OAKLAND, CA 94601",,"37 46m 27.5542s N, 122 13m 50.3004s W",OAKLAND
630,ARROYO SECO ELEMENTARY SCHOOL,2012-05-31,111,Food contact surfaces: clean and sanitized,,"{'human_address': '{""address"": ""37 68399808"", ""city"": """", ""state"": """", ""zip"": """"}'}","5280 IRENE WAY LIVERMORE, CA 94550",,"37 41m 1.8744s N, 121 43m 43.5684s W",LIVERMORE
631,BELGIAN BIER CAFE,2018-11-06,111,Adequate handwashing facilities supplied & accessi,g,"{'latitude': '40.377694', 'longitude': '-111.776429', 'human_address': '{""address"": ""37 80069730"", ""city"": """", ""state"": """", ""zip"": """"}'}","460 8TH ST OAKLAND, CA 94607",33031,"37 48m 1.71468s N, 122 16m 26.8324s W",OAKLAND
632,BIN & BARREL,2018-11-29,111,"No rodents, insects, birds, or animals",g,"{'human_address': '{""address"": ""37 52178747"", ""city"": """", ""state"": """", ""zip"": """"}'}","42314 FREMONT BLVD FREMONT, CA 94538",,,FREMONT
633,BABY NUTRITIONAL CARE #9,2014-08-04,111,Premises personal/cleaning items vermin-proofing,g,"{'human_address': '{""address"": ""37 80343408"", ""city"": """", ""state"": """", ""zip"": """"}'}","900 MARKET ST #A OAKLAND, CA 94607",,"37 48m 16.3089s N, 122 16m 56.3475s W",OAKLAND
634,BAYSIDE CAFE AT LAM RESEARCH,2019-02-07,111,Plumbing proper backflow devices,g,"{'latitude': '39.358855', 'longitude': '-111.575099', 'human_address': '{""address"": ""37 49026447"", ""city"": """", ""state"": """", ""zip"": """"}'}","4650 CUSHING PKWY FREMONT, CA 94538",29581,"37 29m 19.0109s N, 121 57m 25.1848s W",FREMONT
635,BANSEOK JEONG,2019-08-22,111,Food storage food storage containers identified,g,"{'human_address': '{""address"": ""37 70611382"", ""city"": """", ""state"": """", ""zip"": """"}'}","7877 AMADOR VALLEY BLVD DUBLIN, CA 94568",,"37 42m 25.1071s N, 121 56m 9.00816s W",DUBLIN
636,BABY CAFE,2019-05-01,111,Demonstration of knowledge food manager certifica,y,"{'latitude': '40.612047', 'longitude': '-111.889992', 'human_address': '{""address"": ""37 58766045"", ""city"": """", ""state"": """", ""zip"": """"}'}","1749 DECOTO RD UNION CITY, CA 94587",33139,"37 35m 21.3852s N, 122 1m 14.4628s W",UNION CITY
637,3 SEASONS THAI BISTRO,2014-08-15,111,Food separated and protected,g,"{'latitude': '41.551282', 'longitude': '-87.067729', 'human_address': '{""address"": ""37 81172867"", ""city"": """", ""state"": """", ""zip"": """"}'}","1506 LEIMERT BLVD OAKLAND, CA 94602",22001,"37 48m 41.3996s N, 122 12m 42.2838s W",OAKLAND
638,1/3 LB GIANT BURGER,2013-11-18,111,Hot and cold water available,,"{'human_address': '{""address"": ""37 59339716"", ""city"": """", ""state"": """", ""zip"": """"}'}","33592 ALVARADO NILES RD UNION CITY, CA 94587",,"37 35m 43.467s N, 122 3m 3.02544s W",UNION CITY
639,AMY'S DONUT SHOP,2019-08-21,111,Equipment/Utensils - approved installed clean g,g,"{'human_address': '{""address"": ""37 60599181"", ""city"": """", ""state"": """", ""zip"": """"}'}","1818 WHIPPLE RD UNION CITY, CA 94587",,"37 36m 21.398s N, 122 2m 3.36084s W",UNION CITY
640,BOILING POINT RESTAURANT,2018-02-08,111,"Floors, walls and ceilings: built, maintained, and",g,"{'human_address': '{""address"": ""37 48914605"", ""city"": """", ""state"": """", ""zip"": """"}'}","46807 WARM SPRINGS BLVD FREMONT, CA 94539",,,FREMONT
641,BA LE VIETNAMESE SANDWICH,2017-09-06,111,Food storage food storage containers identified,y,"{'latitude': '40.498001', 'longitude': '-111.412904', 'human_address': '{""address"": ""37 78576429"", ""city"": """", ""state"": """", ""zip"": """"}'}","1909 INTERNATIONAL BLVD #A OAKLAND, CA 94606",33053,"37 47m 10.7052s N, 122 14m 27.3024s W",OAKLAND
642,BIRYANI KABAB,2019-01-09,111,Wiping cloths: properly used and stored,y,"{'human_address': '{""address"": ""37 80283587"", ""city"": """", ""state"": """", ""zip"": """"}'}","377 13TH ST OAKLAND, CA 94612",,"37 48m 10.5887s N, 122 16m 12.3523s W",OAKLAND
643,BOCA NOVA,2014-12-10,111,Plumbing proper backflow devices,g,"{'latitude': '41.755579', 'longitude': '-84.994503', 'human_address': '{""address"": ""37 79502596"", ""city"": """", ""state"": """", ""zip"": """"}'}","55 WEBSTER ST OAKLAND, CA 94607",5087,"37 47m 50.6051s N, 122 16m 21.8838s W",OAKLAND
